PebbleCounts,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
UTM X (m),UTM Y (m),a (px),b (px),a (m),b (m),area (px),area (m2),orientation,ellipse area (px),perc. diff. area,,Corrected Area,Correction Factor:,,,,
,,,,,,,,,,,,,6.38E-05,,,corrected diameter (mm),conversion
-104.7015005,32.23612529,73.90780096,32.7031444,6.27E-06,2.77E-06,1567,1.13E-11,-0.198882468,1893.123183,17.22672809,,0.100000148,,,,261.2,
-104.7014359,32.23612512,37.43062551,20.67672362,3.18E-06,1.75E-06,544,3.92E-12,-0.596920207,606.1887731,10.25897804,,0.034716069,,,,165.2,
-104.7014685,32.2361202,45.63080536,25.70660115,3.87E-06,2.18E-06,797,5.74E-12,-0.40525419,918.7595672,13.25260401,,0.050861594,,,,205.4,
-104.7014598,32.23611867,31.27604085,21.97196921,2.65E-06,1.86E-06,349,2.51E-12,-2.616072809,538.2447901,35.15961392,,0.02227189,,,,175.5,
-104.7014269,32.23611774,39.63907159,23.05228895,3.36E-06,1.96E-06,640,4.61E-12,-0.816783784,715.7092167,10.57820899,,0.040842434,,,,184.2,
-104.7014327,32.23611791,42.20998526,24.77757974,3.58E-06,2.10E-06,588,4.23E-12,-0.264080232,819.1683501,28.21988302,,0.037523987,,,,197.9,
-104.7014192,32.23611222,71.30864315,41.37545637,6.05E-06,3.51E-06,1996,1.44E-11,-1.047210252,2310.915424,13.627302,,0.127377342,,,,330.5,
-104.7014671,32.23610315,46.45061394,24.6902838,3.94E-06,2.09E-06,704,5.07E-12,-0.293675841,898.2901173,21.62888287,,0.044926678,,,,197.2,
-104.7014583,32.23610187,36.68249624,24.63125789,3.11E-06,2.09E-06,577,4.15E-12,-2.98418552,707.6924369,18.46740619,,0.036822007,,,,196.8,
-104.7014988,32.23609873,35.19331291,29.34093325,2.99E-06,2.49E-06,690,4.97E-12,-0.488233846,808.7851258,14.68685835,,0.044033249,,,,234.4,
-104.7014525,32.23609593,79.14229665,58.51510916,6.71E-06,4.96E-06,2419,1.74E-11,-0.761427016,3627.235471,33.31009197,,0.154371638,,,,467.4,
-104.7014633,32.23609543,81.47068214,23.69760385,6.91E-06,2.01E-06,1249,8.99E-12,-0.250309656,1512.184802,17.40427506,,0.079706563,,,,189.3,
-104.7014174,32.23609373,35.14895864,21.12132169,2.98E-06,1.79E-06,438,3.15E-12,-0.090575388,581.4771259,24.67459501,,0.027951541,,,,168.7,
-104.7014461,32.23609297,38.62244834,20.528768,3.28E-06,1.74E-06,491,3.53E-12,-2.356829745,621.0145405,20.93582872,,0.031333805,,,,164.0,
-104.7013875,32.23609339,36.11949639,24.66649548,3.06E-06,2.09E-06,614,4.42E-12,-0.240674591,697.8277225,12.01266728,,0.03918321,,,,197.0,
-104.7014653,32.23608906,34.92122974,23.94930809,2.96E-06,2.03E-06,491,3.53E-12,-2.603541582,655.0607544,25.04512036,,0.031333805,,,,191.3,
-104.7014547,32.23608847,73.74733035,26.2438577,6.26E-06,2.23E-06,1301,9.36E-12,-0.216050263,1515.908747,14.17689209,,0.083025011,,,,209.6,
-104.7014466,32.23608609,80.9301904,55.24665208,6.87E-06,4.69E-06,2754,1.98E-11,-1.291296976,3501.9957,21.35912675,,0.1757501,,,,441.3,
-104.7014637,32.23608499,72.513669,45.34851496,6.15E-06,3.85E-06,2045,1.47E-11,-0.378604919,2575.621435,20.60168578,,0.130504341,,,,362.3,
-104.7014433,32.23608397,28.89195342,25.05637465,2.45E-06,2.13E-06,518,3.73E-12,-3.085960714,567.0145736,8.644323429,,0.033056845,,,,200.2,
-104.701408,32.23608295,32.86999659,28.00545125,2.79E-06,2.38E-06,664,4.78E-12,-0.010976732,721.0100448,7.90696956,,0.042374026,,,,223.7,
-104.7014247,32.2360799,32.43085249,22.66810497,2.75E-06,1.92E-06,398,2.86E-12,-1.811159341,575.8013266,30.8789366,,0.025398889,,,,181.1,
-104.7014269,32.23607914,41.209465,25.96685387,3.50E-06,2.20E-06,575,4.14E-12,-0.84898004,838.1377304,31.39552377,,0.036694375,,,,207.4,
-104.7014004,32.23607871,39.7954521,24.45679892,3.38E-06,2.07E-06,665,4.79E-12,-0.165065042,762.3109131,12.76525252,,0.042437842,,,,195.4,
-104.7014305,32.2360782,28.67059063,22.84861716,2.43E-06,1.94E-06,421,3.03E-12,-2.035146761,513.092471,17.94851342,,0.026866664,,,,182.5,
-104.7014305,32.23607574,27.10582237,20.35842176,2.30E-06,1.73E-06,347,2.50E-12,-2.868652325,432.2209133,19.71698053,,0.022144257,,,,162.6,
-104.7013917,32.23607125,43.93789531,23.20832776,3.73E-06,1.97E-06,569,4.09E-12,-0.310623336,798.6972336,28.758987,,0.036311477,,,,185.4,
-104.7014264,32.23606896,47.85792675,33.11554044,4.06E-06,2.81E-06,1069,7.69E-12,-0.49621866,1241.323019,13.88220603,,0.068219629,,,,264.5,
-104.7014089,32.23606709,66.96573215,45.25813739,5.68E-06,3.84E-06,1900,1.37E-11,-1.514989543,2373.823251,19.96034248,,0.121250977,,,,361.5,
-104.7014169,32.23606836,28.5163532,23.09739691,2.42E-06,1.96E-06,338,2.43E-12,-1.043627947,515.8888054,34.48200534,,0.021569911,,,,184.5,
-104.7013945,32.23606539,102.7639758,57.95321594,8.72E-06,4.92E-06,3273,2.36E-11,-0.523537646,4664.633427,29.83371467,,0.208870762,,,,463.0,
-104.7014229,32.23606404,68.66824623,55.47842553,5.83E-06,4.71E-06,2219,1.60E-11,-1.453766689,2983.86496,25.63336377,,0.141608378,,,,443.2,
-104.7014165,32.23606522,34.57489565,26.74791449,2.93E-06,2.27E-06,596,4.29E-12,-2.201076335,724.3523702,17.71960381,,0.038034517,,,,213.7,
-104.7014004,32.23606141,47.22458764,36.72889123,4.01E-06,3.12E-06,1209,8.70E-12,-2.49581949,1358.54827,11.00794675,,0.077153911,,,,293.4,
-104.7014054,32.23605759,56.72544953,38.70603063,4.81E-06,3.28E-06,1235,8.89E-12,-1.700139652,1719.711769,28.18564005,,0.078813135,,,,309.2,
-104.7014047,32.23605004,45.45087554,29.45236116,3.86E-06,2.50E-06,826,5.94E-12,-0.124106053,1048.483143,21.21952501,,0.052712267,,,,235.3,
-104.7013612,32.23599973,66.0969389,45.62096369,5.61E-06,3.87E-06,2007,1.44E-11,-0.679724377,2361.809598,15.02278584,,0.128079321,,,,364.4,
-104.7014409,32.2361308,80.8699203,69.73248533,6.86E-06,5.92E-06,3982,2.87E-11,-0.355837577,4416.937363,9.847034883,,0.254116521,,,,557.1,
-104.7014692,32.23611502,41.50625127,25.74078093,3.52E-06,2.18E-06,654,4.71E-12,-0.225891488,836.8243536,21.84739878,,0.041735863,,,,205.6,
-104.701456,32.23609975,36.06859915,24.21565815,3.06E-06,2.05E-06,496,3.57E-12,-0.791421632,684.1079441,27.49682206,,0.031652887,,,,193.4,
-104.7014347,32.23608584,45.84367118,27.63300608,3.89E-06,2.34E-06,611,4.40E-12,-0.753210741,992.2168607,38.42071989,,0.038991762,,,,220.7,
-104.7013984,32.23608338,27.44961408,21.9345211,2.33E-06,1.86E-06,308,2.22E-12,-2.518852045,471.5887987,34.68886435,,0.019655422,,,,175.2,
-104.7014107,32.23607871,48.12927519,33.04915074,4.08E-06,2.80E-06,945,6.80E-12,-2.929372231,1245.858463,24.14868718,,0.060306407,,,,264.0,
-104.7014155,32.23607549,100.8786826,41.962932,8.56E-06,3.56E-06,2345,1.69E-11,-2.315400436,3315.616626,29.27409094,,0.149649232,,,,335.2,
-104.7014304,32.23607031,48.10796255,23.64145799,4.08E-06,2.01E-06,772,5.56E-12,-0.117999778,890.8207034,13.33834104,,0.049266186,,,,188.9,
-104.7013878,32.23603036,45.48372711,22.34606016,3.86E-06,1.90E-06,641,4.61E-12,-2.645422744,796.0788578,19.48033869,,0.040906251,,,,178.5,
-104.7013598,32.23598692,64.3187992,37.97613596,5.46E-06,3.22E-06,1331,9.58E-12,-0.075480838,1913.14454,30.4286753,,0.0849395,,,,303.4,
-104.7013648,32.23597063,47.58759822,32.83915789,4.04E-06,2.79E-06,795,5.72E-12,-0.080176705,1224.009756,35.0495373,,0.050733961,,,,262.3,
-104.7013903,32.23597055,32.53624605,22.75933378,2.76E-06,1.93E-06,534,3.84E-12,-2.346544765,579.9974311,7.930626698,,0.034077906,,,,181.8,
-104.7013694,32.23597038,29.2395851,25.46112395,2.48E-06,2.16E-06,490,3.53E-12,-1.227558592,583.1064674,15.96731859,,0.031269989,,,,203.4,
-104.7013822,32.23596215,45.89977529,26.96156226,3.89E-06,2.29E-06,816,5.87E-12,-2.733609384,969.2921467,15.81485492,,0.052074104,,,,215.4,
-104.7013693,32.23595468,74.02376176,39.19428216,6.28E-06,3.32E-06,1227,8.83E-12,-0.275179741,2272.442733,46.00523999,,0.078302605,,,,313.1,
-104.701318,32.23596911,73.41233372,46.07079263,6.23E-06,3.91E-06,2177,1.57E-11,-0.529437144,2649.072203,17.8202845,,0.138928093,,,,368.0,
-104.7013132,32.23596877,47.47917878,37.16498949,4.03E-06,3.15E-06,1257,9.05E-12,-0.672043814,1382.089903,9.050779031,,0.080217094,,,,296.9,
-104.7013095,32.23596597,59.92878834,39.75350598,5.08E-06,3.37E-06,1559,1.12E-11,-0.982299325,1865.99302,16.45199186,,0.099489617,,,,317.6,
-104.7012338,32.23596469,95.41205954,32.91750436,8.09E-06,2.79E-06,1936,1.39E-11,-0.609312004,2459.966844,21.29975227,,0.123548364,,,,263.0,
-104.7012421,32.23596113,115.1798537,52.47054885,9.77E-06,4.45E-06,3892,2.80E-11,-0.30120736,4733.596235,17.77921464,,0.248373054,,,,419.2,
-104.7013002,32.23595748,25.77527348,22.36234722,2.19E-06,1.90E-06,349,2.51E-12,-2.441677223,451.4604911,22.69533949,,0.02227189,,,,178.6,
-104.7011892,32.23595621,61.93987103,35.95536805,5.25E-06,3.05E-06,1463,1.05E-11,-0.497354033,1744.34794,16.12911815,,0.093363252,,,,287.2,
-104.7011933,32.23595494,78.99037174,56.54195125,6.70E-06,4.80E-06,3224,2.32E-11,-0.528489357,3498.195129,7.838188527,,0.205743763,,,,451.7,
-104.7012024,32.23595579,92.77433572,32.23043155,7.87E-06,2.73E-06,1278,9.20E-12,-0.207429815,2342.033243,45.4320299,,0.081557236,,,,257.5,
-104.7012019,32.2359529,58.8574526,30.11776176,4.99E-06,2.56E-06,1083,7.79E-12,-2.847359694,1388.427594,21.99809306,,0.069113057,,,,240.6,
-104.701217,32.23595061,30.70119468,24.72690777,2.60E-06,2.10E-06,480,3.45E-12,-2.220765228,594.5989883,19.27332379,,0.030631826,,,,197.5,
-104.7012803,32.23594959,57.12417907,42.59487644,4.85E-06,3.61E-06,1234,8.88E-12,-0.463770927,1905.796021,35.25015342,,0.078749319,,,,340.3,
-104.701258,32.23594959,65.95178896,27.86094677,5.59E-06,2.36E-06,1183,8.51E-12,-0.076255898,1439.201266,17.80162871,,0.075494687,,,,222.6,
-104.7012191,32.23594883,40.86131609,31.77476309,3.47E-06,2.70E-06,890,6.41E-12,-0.292016834,1016.936307,12.48222788,,0.05679651,,,,253.8,
-104.7011963,32.2359473,42.86326088,35.14062612,3.64E-06,2.98E-06,1044,7.51E-12,-0.61781763,1179.760317,11.50744905,,0.066624221,,,,280.7,
-104.7012546,32.23594595,47.14713876,26.21855436,4.00E-06,2.22E-06,893,6.43E-12,-3.032428276,968.1957342,7.766583915,,0.056987959,,,,209.4,
-104.7011858,32.23594383,26.27874577,22.6651051,2.23E-06,1.92E-06,426,3.07E-12,-1.305763229,466.5105309,8.683733426,,0.027185745,,,,181.1,
-104.7012547,32.2359406,55.66819876,23.0346544,4.72E-06,1.95E-06,670,4.82E-12,-0.485488215,1004.356631,33.29062812,,0.042756923,,,,184.0,
-104.7011873,32.2359367,49.38619796,28.486611,4.19E-06,2.42E-06,755,5.43E-12,-0.49908355,1101.908313,31.48250255,,0.048181309,,,,227.6,
-104.7011967,32.23593161,43.96091631,28.46762226,3.73E-06,2.42E-06,818,5.89E-12,-0.628646192,980.2052222,16.54808795,,0.052201736,,,,227.4,
-104.7012175,32.23593076,40.16201396,32.35972355,3.41E-06,2.75E-06,830,5.97E-12,-2.769682967,1017.933406,18.46224954,,0.052967532,,,,258.5,
-104.7012628,32.23592889,47.9224645,25.43155171,4.07E-06,2.16E-06,653,4.70E-12,-1.654274712,954.5772617,31.59275564,,0.041672046,,,,203.2,
-104.7012144,32.23592762,79.1917264,49.83586747,6.72E-06,4.23E-06,1949,1.40E-11,-1.219379655,3091.155939,36.94915305,,0.124377976,,,,398.1,
-104.7012194,32.23592779,46.25374196,35.13905472,3.92E-06,2.98E-06,1030,7.41E-12,-0.882121856,1273.022351,19.09018729,,0.065730793,,,,280.7,
-104.7012477,32.23592677,31.09832779,20.5247563,2.64E-06,1.74E-06,420,3.02E-12,-2.599974113,499.9356734,15.98919174,,0.026802848,,,,164.0,
-104.7012225,32.23592499,90.80898877,52.96586422,7.70E-06,4.49E-06,1843,1.33E-11,-1.395507971,3767.246028,51.07832124,,0.117613448,,,,423.1,
-104.7011993,32.23592542,42.43845069,24.27624888,3.60E-06,2.06E-06,671,4.83E-12,-1.732448873,806.9380289,16.84615472,,0.04282074,,,,193.9,
-104.7012311,32.23592508,60.14085326,33.05083413,5.10E-06,2.80E-06,1085,7.81E-12,-3.003207524,1556.865487,30.30868699,,0.069240689,,,,264.0,
-104.7012795,32.23592414,63.95019917,45.60062693,5.43E-06,3.87E-06,1907,1.37E-11,-1.862036247,2284.082552,16.50914725,,0.121697691,,,,364.3,
-104.7012554,32.23592499,26.37105034,22.07960756,2.24E-06,1.87E-06,397,2.86E-12,-0.934054563,456.0556696,12.94922386,,0.025335073,,,,176.4,
-104.7012005,32.2359216,50.57858852,37.48290013,4.29E-06,3.18E-06,1020,7.34E-12,-3.132746423,1484.906036,31.30878483,,0.06509263,,,,299.4,
-104.7011867,32.23591846,82.85382949,30.63161813,7.03E-06,2.60E-06,1175,8.46E-12,-0.081476441,1987.84083,40.89063962,,0.074984157,,,,244.7,
-104.7011971,32.23591812,40.30163292,26.40271907,3.42E-06,2.24E-06,740,5.33E-12,-0.977132746,833.4323988,11.21055516,,0.047224065,,,,210.9,
-104.7012057,32.23591625,46.97349075,43.17945387,3.98E-06,3.66E-06,1388,9.99E-12,-0.571191116,1588.653052,12.6303885,,0.088577029,,,,344.9,
-104.7012096,32.23591659,32.67182567,26.42224906,2.77E-06,2.24E-06,531,3.82E-12,-0.943798417,676.1487763,21.46698794,,0.033886457,,,,211.1,
-104.7012354,32.23591515,33.40141767,21.329213,2.83E-06,1.81E-06,435,3.13E-12,-2.060055585,558.0059279,22.04383892,,0.027760092,,,,170.4,
-104.7012438,32.2359149,34.36516879,23.61004407,2.92E-06,2.00E-06,583,4.20E-12,-3.025703921,635.498252,8.260959314,,0.037204905,,,,188.6,
